consent,clif_harm_e_01_1,clif_harm_e_01_2,clif_harm_e_02_1,clif_harm_e_02_2,clif_harm_e_03_1,clif_harm_e_03_2,clif_harm_e_04_1,clif_harm_e_04_2,clif_harm_e_05_1,clif_harm_e_05_2,clif_harm_e_06_1,clif_harm_e_06_2,clif_harm_e_07_1,clif_harm_e_07_2,clif_harm_e_08_1,clif_harm_e_08_2,clif_harm_e_09_1,clif_harm_e_09_2,clif_harm_e_10_1,clif_harm_e_10_2,clif_harm_e_11_1,clif_harm_e_11_2,clif_harm_e_12_1,clif_harm_e_12_2,clif_harm_e_13_1,clif_harm_e_13_2,clif_harm_e_14_1,clif_harm_e_14_2,clif_harm_e_15_1,clif_harm_e_15_2,clif_harm_e_16_1,clif_harm_e_16_2,clif_harm_ph_01_1,clif_harm_ph_01_2,clif_harm_ph_02_1,clif_harm_ph_02_2,clif_harm_ph_03_1,clif_harm_ph_03_2,cliff_fair_01_1,cliff_fair_01_2,clif_fair_02_1,clif_fair_02_2,clif_fair_03_1,clif_fair_03_2,clif_fair_04_1,clif_fair_04_2,clif_fair_05_1,clif_fair_05_2,clif_fair_06_1,clif_fair_06_2,clif_fair_07_1,clif_fair_07_2,clif_fair_08_1,clif_fair_08_2,clif_fair_09_1,clif_fair_09_2,clif_fair_10_1,clif_fair_10_2,clif_fair_11_1,clif_fair_11_2,clif_fair_12_1,clif_fair_12_2,clif_pure_1_1,clif_pure_1_2,clif_pure_02_1,clif_pure_02_2,clif_pure_03_1,clif_pure_03_2,clif_pure_04_1,clif_pure_04_2,clif_pure_05_1,clif_pure_05_2,clif_pure_06_1,clif_pure_06_2,clif_pure_07_1,clif_pure_07_2,clif_pure_08_1,clif_pure_08_2,clif_pure_09_1,clif_pure_09_2,clif_pure_10_1,clif_pure_10_2,emt_14_1,emt_14_2,emt_15_1,emt_15_2,emt_12_1,emt_12_2,emt_13_1,emt_13_2,emt_11_1,emt_11_2,emt_10_1,emt_10_2,emt_09_1,emt_09_2,emt_08_1,emt_08_2,emt_07_1,emt_07_2,emt_06_1,emt_06_2,emt_05_1,emt_05_2,emt_04_1,emt_04_2,emt_03_1,emt_03_2,emt_02_1,emt_02_2,emt_01_1,emt_01_2,graham_pure_05_1,graham_pure_05_2,graham_pure_04_1,graham_pure_04_2,graham_pure_03_1,graham_pure_03_2,graham_pure_02_1,graham_pure_02_2,graham_pure_01_1,graham_pure_01_2,graham_fair_05_1,graham_fair_05_2,graham_fair_04_1,graham_fair_04_2,graham_fair_03_1,graham_fair_03_2,graham_fair_02_1,graham_fair_02_2,graham_fair_01_1,graham_fair_01_2,graham_harm_05_1,graham_harm_05_2,graham_harm_04_1,graham_harm_04_2,graham_harm_03_1,graham_harm_03_2,graham_harm_02_1,graham_harm_02_2,graham_harm_01_1,graham_harm_01_2,age,gender,hispanic,race,lib_con_1,lib_con_2,lib_con_3,pol_party,Debrief,likely_dups,total_na,clif_harm_wrong_mean,clif_fair_wrong_mean,clif_pure_wrong_mean,graham_harm_wrong_mean,graham_pure_wrong_mean,graham_fair_wrong_mean,clif_wrong_mean,graham_wrong_mean,emt_wrong_mean,clif_harm_likely_mean,clif_fair_likely_mean,clif_pure_likely_mean,graham_harm_likely_mean,graham_pure_likely_mean,graham_fair_likely_mean,clif_likely_mean,graham_likely_mean,emt_likely_mean
I understand and agree to continue,3,1,4,2,4,2,4,1,5,2,4,2,5,2,4,3,4,2,3,2,4,2,2,2,3,2,3,2,4,1,4,1,5,1,3,1,3,1,5,1,5,1,3,1,3,4,4,1,4,2,5,1,5,3,4,3,4,2,4,3,5,1,5,0,5,0,5,1,5,0,5,0,5,0,5,0,4,1,5,1,5,0,2,3,2,4,5,1,3,2,3,2,4,2,4,2,3,3,3,1,3,1,3,3,5,2,4,1,5,2,5,2,5,1,3,1,5,0,4,1,5,0,4,1,5,2,3,2,5,1,4,1,5,0,2,3,5,2,4,2,4,1,18,Female,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,7,3.736842105,4.181818182,4.9,4,4.4,4.2,4.170731707,4.2,3.6,1.684210526,2,0.3,1.6,0.6,1.4,1.414634146,1.2,2.066666667
I understand and agree to continue,3,2,3,2,3,3,3,3,3,3,3,3,3,2,2,4,2,2,2,3,3,1,2,2,3,3,2,2,1,4,3,4,3,3,4,2,4,4,3,5,1,1,2,4,3,3,3,3,4,2,5,1,4,5,2,3,4,4,5,3,4,5,2,0,2,3,5,1,5,0,1,3,4,1,4,0,4,1,1,1,4,2,5,5,2,4,2,3,3,3,2,5,3,4,3,4,3,5,3,3,4,2,2,4,2,3,4,3,3,4,4,2,1,0,0,1,0,0,1,1,0,1,5,4,5,4,3,2,4,0,4,3,3,0,3,2,3,5,4,1,4,3,18,Male,No,White or Caucasian,2,5,4,Independent,Continue,NA,7,2.736842105,3.363636364,3.2,3.4,0.4,4.2,3.024390244,2.666666667,3,2.736842105,3.090909091,1.2,2.2,0.6,2.6,2.512195122,1.8,3.6
I understand and agree to continue,5,0,3,0,4,1,3,0,4,0,4,0,5,0,4,1,3,1,2,2,4,NA,3,0,2,0,3,2,4,2,4,0,5,1,4,2,5,1,4,2,4,0,3,0,1,2,NA,NA,3,2,5,0,4,1,3,1,3,0,4,1,5,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,2,2,3,1,3,0,4,1,3,0,2,1,3,1,4,2,3,1,1,1,2,5,5,0,2,1,4,4,4,1,5,0,0,0,5,0,5,0,5,0,5,0,5,0,4,0,5,0,4,0,5,0,2,0,4,2,5,0,5,1,19,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,11,3.736842105,3.5,5,4.2,4,4.6,4,4.266666667,3,0.722222222,1,0,0.6,0,0,0.641025641,0.2,1.4
I understand and agree to continue,4,5,2,4,4,5,1,3,NA,NA,1,4,4,3,3,5,4,3,1,5,3,5,4,3,2,4,1,4,3,5,4,4,4,2,3,2,3,3,4,3,5,3,2,4,1,5,2,5,4,4,4,2,2,4,4,4,4,4,5,3,5,1,5,1,5,1,5,2,5,0,4,2,4,0,5,0,3,2,5,1,5,1,1,5,3,5,3,5,4,2,2,5,2,5,1,5,1,5,2,NA,3,4,2,5,4,3,2,5,4,5,4,5,5,1,2,3,1,2,3,1,2,0,4,1,4,2,3,2,5,2,3,4,4,3,0,2,4,5,4,2,5,3,18,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,11,2.833333333,3.454545455,4.6,3.4,2.6,3.8,3.475,3.266666667,2.533333333,3.833333333,3.545454545,1,3,1.4,2.2,3.025,2.2,4.571428571
I understand and agree to continue,2,0,2,0,3,0,1,0,3,0,3,2,4,0,3,0,1,0,2,0,2,NA,2,0,1,0,2,0,3,0,3,0,4,0,3,0,2,0,4,0,3,0,1,1,0,4,2,1,3,0,5,0,4,1,0,2,3,0,3,0,4,0,5,0,4,0,5,0,5,0,4,0,5,0,5,0,4,0,5,0,4,0,0,3,5,5,2,1,1,0,2,2,0,1,1,3,3,2,1,3,1,1,1,1,5,1,1,3,3,2,2,0,3,0,0,1,3,0,4,0,4,0,4,0,4,0,2,1,4,0,4,1,4,0,0,0,3,0,4,0,4,0,21,Male,Yes,White or Caucasian,5,6,6,Other (please explain),Continue,NA,6,2.421052632,2.545454545,4.6,3,2.8,3.6,3.024390244,3.133333333,1.866666667,0.111111111,0.818181818,0,0,0.2,0.4,0.275,0.2,1.866666667
I understand and agree to continue,2,2,1,3,2,3,2,4,2,2,2,3,2,1,2,3,1,3,0,2,NA,3,1,3,0,3,0,3,1,3,2,2,1,3,1,2,1,2,5,3,2,2,2,3,0,5,2,4,5,2,4,2,3,3,1,3,1,2,3,2,5,2,4,1,3,2,5,0,5,1,3,3,3,0,4,3,4,2,5,1,2,3,1,3,2,4,1,2,2,3,1,3,1,4,1,4,1,4,1,3,NA,3,2,3,3,1,1,3,3,1,4,3,4,0,0,1,1,3,4,2,4,1,5,1,5,5,1,3,4,1,1,4,5,1,0,3,2,4,5,3,4,3,18,Male,No,White or Caucasian,"Very conservative
7",6,6,Republican,Continue,NA,9,1.277777778,2.545454545,3.8,3.2,2.6,3.2,2.35,3,1.714285714,2.631578947,2.727272727,1.6,2.8,1.4,2.8,2.414634146,2.333333333,2.933333333
I understand and agree to continue,5,1,3,2,4,1,4,3,3,3,5,1,5,1,4,2,3,2,2,3,4,1,3,2,3,2,3,1,3,3,5,1,4,3,3,0,2,1,2,3,5,3,2,3,1,1,2,3,4,1,5,0,2,1,4,2,1,2,5,2,5,0,3,0,3,1,4,0,5,0,3,1,5,0,3,0,4,0,3,0,5,1,1,5,3,2,3,2,4,3,3,2,2,5,2,3,3,4,4,3,3,3,3,2,4,1,3,2,3,4,4,1,2,0,1,1,0,0,4,0,1,0,5,1,5,0,3,2,5,1,4,3,4,1,0,2,4,3,5,1,5,1,19,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,7,3.578947368,3.272727273,3.8,3.6,1.6,4.4,3.512195122,3.2,3,1.736842105,1.636363636,0.3,1.6,0.2,1.4,1.390243902,1.066666667,2.8
I understand and agree to continue,4,1,3,4,3,2,3,2,3,3,4,3,4,2,3,1,2,3,3,2,3,3,2,3,2,2,3,3,4,1,4,2,4,1,3,2,3,2,4,4,3,3,3,3,3,4,3,3,3,3,4,2,4,3,3,4,3,4,4,2,4,3,4,2,4,1,4,2,4,1,4,1,4,1,4,1,2,0,3,2,4,1,3,4,3,2,3,4,3,4,2,4,2,4,3,4,3,4,3,4,1,3,3,4,4,3,3,3,4,3,4,3,2,0,3,2,3,1,4,1,3,1,4,3,4,2,2,3,4,1,3,3,4,1,2,4,3,2,3,2,4,2,20,Female,No,White or Caucasian,4,5,4,Independent,Continue,NA,9,3.157894737,3.363636364,3.7,3.2,3,3.4,3.365853659,3.2,2.933333333,2.210526316,3.090909091,1.2,2.2,1,2.4,2.243902439,1.866666667,3.533333333
I understand and agree to continue,1,2,1,1,1,3,1,3,1,2,2,2,1,1,1,2,0,5,1,2,1,1,0,2,1,2,0,3,1,3,1,1,2,1,2,3,2,3,2,2,2,1,1,1,0,5,1,3,2,3,2,2,2,4,1,2,1,3,3,4,2,5,4,0,4,1,4,0,4,0,4,1,3,0,4,0,3,1,4,0,2,1,0,5,0,4,1,2,0,1,1,4,0,4,0,3,1,5,1,2,0,2,1,5,4,1,0,3,1,2,1,3,3,3,0,4,2,0,1,0,2,1,2,1,3,5,0,2,3,2,1,2,3,1,0,4,1,2,1,2,1,3,21,Female,No,White or Caucasian,6,5,6,Republican,Continue,NA,9,1.052631579,1.545454545,3.6,1.2,1.6,1.8,1.829268293,1.533333333,0.733333333,2.210526316,3,0.4,2.4,1.6,2.4,1.975609756,2.133333333,3.066666667
I understand and agree to continue,2,0,2,3,0,3,1,0,2,0,0,1,2,0,3,2,2,3,0,5,2,3,0,1,1,2,0,4,2,0,2,0,2,3,1,0,1,3,5,0,4,0,0,0,1,5,1,4,2,5,3,3,4,0,0,5,3,0,4,0,5,0,5,0,5,0,5,0,5,0,4,0,2,0,5,0,3,0,5,0,5,0,0,4,2,3,2,1,4,1,1,0,1,5,2,2,1,4,2,0,0,0,1,3,5,0,2,5,4,2,2,3,4,0,0,0,2,0,2,0,4,0,4,0,5,0,2,0,5,2,3,0,5,0,0,3,2,0,4,0,5,0,19,Male,No,White or Caucasian,6,6,4,Republican,Continue,NA,9,1.315789474,2.454545455,4.4,3.2,2.4,3.8,2.463414634,3.133333333,1.933333333,1.736842105,2,0,0.6,0,0.4,1.341463415,0.333333333,2.2
I understand and agree to continue,3,0,2,0,3,0,2,0,3,0,2,0,4,0,2,0,2,2,1,3,2,NA,2,0,2,0,0,0,3,0,4,0,4,0,4,0,5,0,4,1,4,0,4,0,4,4,3,0,4,1,5,0,4,0,1,3,4,0,4,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,4,0,5,0,3,0,5,0,2,4,2,0,2,3,4,1,3,2,1,3,3,0,1,1,4,3,0,4,1,5,5,0,0,5,5,3,4,1,5,0,1,0,0,0,4,0,5,0,5,0,5,5,1,2,5,0,4,0,5,0,0,5,3,0,2,0,1,0,NA,Female,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,9,2.631578947,3.818181818,4.7,2.2,3,4,3.487804878,3.066666667,2.466666667,0.277777778,0.909090909,0,1,0,1.4,0.4,0.8,2.333333333
I understand and agree to continue,3,3,1,2,1,4,3,4,2,1,1,2,3,1,2,2,2,4,1,5,2,3,1,2,3,3,1,2,2,4,3,1,4,1,4,2,4,4,3,3,3,1,3,4,3,2,1,3,3,2,4,1,2,3,1,5,1,2,3,1,5,1,5,0,3,1,5,0,5,0,2,0,4,0,5,0,3,1,5,2,2,0,1,5,1,2,1,3,2,3,1,4,1,5,2,5,1,4,1,NA,2,2,1,5,4,1,1,4,4,3,4,4,4,0,0,1,0,0,4,0,1,0,5,3,4,2,2,3,4,0,2,0,5,0,0,3,2,3,4,2,5,0,20,Female,No,White or Caucasian,3,4,3,Other (please explain),Continue,NA,6,2.263157895,2.636363636,3.9,3.2,1.8,3.4,2.780487805,2.8,1.8,2.631578947,2.272727273,0.4,1.6,0.2,1.6,2,1.133333333,3.571428571
I understand and agree to continue,5,0,5,0,4,0,2,0,4,0,5,0,5,0,5,0,5,0,3,0,3,NA,5,0,3,1,5,0,3,0,5,0,5,0,0,0,0,0,5,2,5,0,5,0,4,1,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,3,0,3,5,1,0,5,0,5,0,1,0,5,0,5,0,5,0,NA,0,NA,0,3,4,5,0,1,1,5,2,5,0,4,0,3,0,5,0,1,0,5,0,5,0,4,0,3,0,NA,NA,5,0,5,0,5,0,3,0,3,0,5,0,19,Female,Yes,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,11,3.789473684,4.909090909,4.8,4.2,3.6,4.25,4.365853659,4,3.769230769,0.055555556,0.181818182,0,0,0,0,0.125,0,0.8
I understand and agree to continue,5,5,3,3,4,5,5,5,2,5,5,4,3,3,3,3,4,1,4,2,4,4,3,5,4,5,4,0,4,4,5,2,5,2,1,3,5,1,5,5,4,1,3,2,3,3,2,5,3,3,5,1,5,2,4,5,5,1,4,4,5,1,5,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,2,5,4,4,5,4,3,2,3,5,1,5,3,4,2,5,4,NA,2,2,4,5,5,0,1,5,5,1,5,3,5,0,1,4,2,0,3,0,1,1,5,0,5,1,3,4,5,0,4,4,5,0,1,5,3,3,5,1,5,1,19,Female,No,White or Caucasian,5,6,3,Republican,Continue,NA,9,3.842105263,3.909090909,4.9,3.8,2.4,4.4,4.146341463,3.533333333,3.266666667,3.263157895,2.545454545,0,2,1,1.8,2.317073171,1.6,3.571428571
I understand and agree to continue,3,3,1,3,2,3,2,2,2,2,1,2,3,1,2,4,1,3,2,1,2,2,2,1,3,2,1,2,2,3,4,2,2,1,3,1,3,1,2,4,3,1,1,1,1,1,1,3,2,3,5,2,3,3,1,2,2,2,2,1,5,2,5,0,2,0,4,0,5,0,5,2,5,0,1,0,4,0,3,0,5,0,2,4,2,4,2,3,2,4,2,3,2,3,1,4,1,3,1,4,1,2,1,3,4,0,2,3,2,2,3,2,3,0,0,1,0,0,2,0,1,0,4,1,3,1,2,3,3,2,3,1,3,1,1,3,2,3,3,0,4,3,20,Female,No,White or Caucasian,5,4,4,Republican,Continue,NA,7,2.157894737,2.363636364,3.9,2.6,1.2,3,2.634146341,2.266666667,1.866666667,2.052631579,1.909090909,0.2,2,0.2,1.6,1.609756098,1.266666667,2.933333333
I understand and agree to continue,4,2,2,2,4,4,3,3,3,1,2,0,3,2,4,3,4,3,1,2,1,2,3,1,4,3,1,3,4,2,3,1,2,0,2,1,1,0,3,4,2,3,3,1,1,3,1,4,3,3,4,0,4,2,0,3,4,0,3,2,4,2,5,0,4,2,5,0,5,0,4,2,5,0,5,0,5,0,5,1,5,0,2,4,2,2,2,2,2,1,1,0,0,0,0,5,3,3,3,3,0,1,2,3,4,1,2,3,3,5,5,2,5,0,0,0,5,0,5,0,4,0,5,0,5,1,1,1,3,0,3,0,5,0,1,1,3,2,4,1,5,1,18,Female,No,White or Caucasian,6,4,4,Republican,Continue,NA,7,2.684210526,2.636363636,4.8,3.6,3.8,3.4,3.195121951,3.6,2.066666667,1.842105263,2.090909091,0.5,1,0,0.4,1.634146341,0.466666667,2.333333333
I understand and agree to continue,4,3,4,3,5,2,1,3,3,3,5,2,5,1,2,5,4,5,1,3,4,2,1,5,4,2,3,4,4,3,5,1,5,3,3,1,1,3,4,2,5,0,4,1,4,4,5,3,4,5,5,2,5,2,1,4,5,3,5,3,5,2,5,1,4,3,4,1,5,1,5,5,5,0,5,0,4,3,3,1,5,1,1,5,3,5,3,3,2,5,1,3,1,5,4,5,1,5,0,3,1,NA,3,4,5,5,1,4,4,2,5,1,5,3,0,4,0,1,0,0,1,1,4,3,5,5,3,2,5,3,4,2,5,1,1,4,5,2,3,1,5,1,17,Female,NA,White or Caucasian,6,6,6,Other (please explain),Continue,NA,7,3.368421053,4.363636364,4.5,3.8,1.2,4.2,3.926829268,3.066666667,2.333333333,2.842105263,2.636363636,1.6,1.8,1.8,3,2.463414634,2.2,3.928571429
I understand and agree to continue,2,0,1,0,3,0,2,0,3,1,1,0,3,0,1,0,2,2,3,0,3,1,3,1,1,0,1,1,1,2,3,0,2,0,2,0,2,3,5,3,2,0,3,1,3,2,3,2,3,0,3,0,3,0,1,0,3,0,4,1,5,2,5,0,5,0,5,0,0,4,5,0,4,0,4,0,3,0,4,0,4,0,1,4,2,0,1,0,3,2,1,3,2,1,1,0,1,1,1,2,1,0,1,4,5,0,2,0,4,0,3,1,5,0,0,0,3,0,1,0,5,0,3,0,4,2,3,2,5,0,4,0,4,0,0,1,3,0,2,0,3,0,18,Female,No,White or Caucasian,6,5,4,Republican,Continue,NA,7,2.052631579,3,3.9,2.4,2.8,3.8,2.829268293,3,1.933333333,0.578947368,0.727272727,0.4,0.2,0,0.8,0.634146341,0.333333333,1.2
I understand and agree to continue,4,1,3,4,4,1,4,1,4,1,4,2,4,1,5,0,4,2,2,1,4,NA,2,1,1,2,3,2,3,3,5,1,5,4,3,0,4,1,4,2,4,1,1,1,2,3,4,2,4,3,5,2,4,2,3,3,3,3,5,4,5,4,5,0,5,0,5,1,5,0,5,1,5,0,5,0,5,0,5,0,5,0,3,3,4,1,3,0,3,2,4,2,2,3,3,3,4,3,4,2,2,2,2,3,5,1,4,3,3,4,4,1,5,0,0,1,2,0,3,0,5,0,5,2,5,4,5,1,5,1,4,1,5,0,0,3,4,3,5,1,5,0,18,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,7,3.578947368,3.636363636,5,3.8,3,4.8,3.951219512,3.866666667,3.333333333,1.555555556,2.545454545,0.2,1.4,0.2,1.8,1.5,1.133333333,2.2
I understand and agree to continue,3,0,3,4,3,4,2,5,3,3,3,3,5,1,3,5,1,3,2,5,1,2,1,0,1,0,0,5,3,5,3,1,3,0,0,0,0,5,2,5,2,3,1,0,0,5,2,5,3,3,5,1,2,4,2,4,3,3,4,3,5,0,5,0,3,3,5,0,5,0,5,0,5,0,2,0,5,0,5,0,5,1,1,5,5,5,2,4,3,3,1,5,1,5,1,5,1,5,2,0,1,NA,1,4,5,2,5,5,3,3,4,2,5,0,0,0,2,0,0,0,5,0,5,3,4,4,1,0,5,1,3,3,4,1,0,5,3,3,0,0,5,1,18,Male,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,9,2.105263158,2.636363636,4.5,2.4,2.4,3.6,2.829268293,2.8,2.4,2.684210526,2.818181818,0.4,2,0,2.2,2.219512195,1.4,3.785714286
I understand and agree to continue,5,5,4,1,4,2,4,2,5,1,3,1,5,3,4,1,2,5,4,2,5,2,3,2,3,5,4,2,5,3,5,0,5,2,1,0,5,3,3,5,5,1,5,3,3,5,3,4,5,2,5,3,5,2,3,2,4,1,5,4,5,1,4,0,4,0,5,1,0,4,3,1,5,0,5,0,3,0,2,0,5,0,2,5,4,2,4,1,5,1,5,1,4,5,5,5,2,4,NA,NA,3,2,5,5,3,1,3,2,3,5,4,5,5,0,0,1,0,0,5,0,1,1,5,2,5,2,3,1,5,1,5,3,5,1,5,2,5,2,5,1,5,1,18,Female,No,White or Caucasian,3,6,5,Democratic,Continue,NA,7,4,4.363636364,3.6,5,2.2,4.6,3.975609756,3.933333333,3.714285714,2.210526316,2.545454545,0.6,1.4,0.4,1.8,1.975609756,1.2,3.142857143
I understand and agree to continue,4,1,1,1,1,2,2,1,2,0,1,0,4,1,2,2,2,1,0,3,2,1,0,0,2,1,0,3,2,1,4,2,4,0,4,1,4,2,4,2,1,0,1,0,2,3,2,2,3,2,4,0,1,0,0,3,2,0,4,2,4,2,5,0,2,2,5,0,5,0,5,1,5,0,5,0,2,0,5,0,5,0,1,4,1,2,2,1,2,1,1,2,0,0,0,3,1,2,0,4,0,0,0,0,5,0,0,0,2,3,5,2,5,0,0,0,4,0,5,0,2,0,3,0,5,2,2,1,NA,NA,3,2,5,0,0,1,3,2,3,1,5,0,18,Female,No,White or Caucasian,5,5,6,Republican,Continue,NA,9,2.157894737,2.181818182,4.4,3.2,3.2,3.25,2.756097561,3.214285714,1.333333333,1.210526316,1.272727273,0.3,0.8,0,1.25,1.024390244,0.642857143,1.6
I understand and agree to continue,5,4,3,3,4,4,3,3,4,3,4,3,4,4,5,4,4,4,2,2,3,3,2,2,4,3,3,3,4,4,5,4,4,2,3,3,4,4,5,5,2,3,3,3,1,5,1,2,3,3,5,3,3,3,2,2,2,3,3,3,5,4,5,3,3,3,5,3,5,2,5,3,5,1,5,2,4,4,5,3,4,1,2,4,4,3,4,4,3,3,2,4,2,4,2,3,3,3,3,3,2,2,2,3,4,2,2,3,4,5,4,4,4,3,3,1,2,2,5,1,5,3,4,3,5,5,2,3,3,3,3,3,5,2,3,3,5,5,5,5,5,3,19,Female,Yes,White or Caucasian,5,5,5,Republican,Continue,NA,7,3.684210526,2.727272727,4.6,4.6,3.8,3.4,3.682926829,3.933333333,2.866666667,3.263157895,3.090909091,2.5,3.6,2,3.4,3.073170732,3,3.333333333
I understand and agree to continue,3,1,3,2,4,1,3,1,3,1,3,1,4,1,4,3,2,3,2,1,2,1,3,1,3,1,3,2,4,3,4,1,3,2,3,3,4,0,4,2,2,2,2,1,1,4,2,1,2,3,3,1,4,1,1,3,2,2,3,1,4,1,5,0,3,3,5,1,5,0,4,1,5,0,1,0,2,1,3,1,5,1,1,4,1,3,2,1,4,2,1,3,1,2,2,2,2,3,1,3,1,1,2,3,5,2,3,1,5,2,4,3,1,0,0,2,0,0,2,0,5,1,3,1,5,1,2,1,3,1,3,2,3,1,1,1,3,3,4,1,4,1,19,Female,No,White or Caucasian,5,6,4,Republican,Continue,NA,7,3.157894737,2.363636364,3.8,3,1.6,3.2,3.12195122,2.6,2.333333333,1.526315789,1.818181818,0.8,1.4,0.6,1.2,1.43902439,1.066666667,2.333333333
I understand and agree to continue,2,1,1,2,2,2,2,4,2,1,2,0,2,1,2,1,2,1,2,1,1,1,1,1,1,2,0,1,1,2,2,1,4,0,3,0,4,0,3,3,3,2,2,0,1,5,1,1,3,1,3,0,3,0,1,2,3,0,3,1,4,0,5,0,3,0,4,0,5,0,4,0,4,0,5,0,3,0,5,0,4,0,1,5,0,3,1,2,2,0,0,4,1,2,1,4,1,3,1,1,1,1,1,4,5,1,0,5,4,1,1,1,4,0,0,1,4,0,3,0,3,0,3,1,3,2,1,2,5,0,3,1,5,0,0,2,2,1,4,0,4,2,19,Female,No,White or Caucasian,5,5,5,Republican,Continue,NA,7,1.894736842,2.454545455,4.2,3,2.8,3,2.634146341,2.933333333,1.333333333,1.157894737,1.090909091,0,1,0.2,1.2,0.902439024,0.8,2.466666667
I understand and agree to continue,4,1,3,2,4,2,3,1,3,2,3,2,5,2,2,2,2,2,3,1,3,1,3,1,2,2,2,1,3,2,4,1,3,1,4,0,4,1,4,1,4,2,3,0,4,1,3,2,4,1,4,1,3,1,2,2,3,2,5,1,4,1,5,0,5,0,5,0,5,1,5,0,4,1,3,0,5,2,4,0,5,1,2,3,3,3,3,1,3,1,3,3,2,3,3,2,3,2,3,1,2,2,3,3,5,1,4,3,4,2,3,2,4,0,0,0,3,0,2,0,5,2,5,1,5,2,2,1,5,1,3,0,5,1,1,2,3,2,4,1,5,1,19,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,9,3.157894737,3.545454545,4.6,3.6,2.8,4,3.634146341,3.466666667,3.066666667,1.421052632,1.272727273,0.5,1.4,0.4,1,1.146341463,0.933333333,2.133333333
I understand and agree to continue,3,3,3,2,3,4,4,4,4,1,3,3,5,2,3,4,3,3,3,3,3,3,4,1,3,4,2,3,3,3,3,3,2,4,4,1,3,3,4,4,4,2,2,2,2,5,4,4,2,4,4,1,4,3,2,4,3,2,3,2,5,4,4,0,1,1,5,0,5,1,3,4,4,1,4,2,3,1,3,3,5,1,1,5,4,2,3,4,3,2,2,3,2,4,3,5,1,5,3,2,3,2,3,3,4,3,3,3,4,4,5,2,4,0,1,1,1,1,4,1,3,0,4,2,5,3,4,2,3,2,5,4,5,1,1,4,3,3,3,3,5,1,18,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,9,3.210526316,3.181818182,3.7,3.4,2.6,4.2,3.341463415,3.4,2.933333333,2.842105263,3,1.4,2.4,0.6,2.6,2.56097561,1.866666667,3.266666667
I understand and agree to continue,5,3,4,3,5,5,5,0,5,2,5,2,5,3,5,4,5,5,4,3,3,4,4,2,4,5,3,3,5,2,5,0,5,0,5,0,4,2,5,3,5,1,3,0,5,3,3,3,5,3,5,0,4,3,4,3,3,3,5,0,5,2,5,0,5,3,5,0,5,0,5,1,5,0,5,0,5,0,5,3,5,2,5,5,5,5,5,3,5,4,4,3,3,4,3,3,3,4,3,NA,NA,3,4,5,5,0,5,5,5,2,5,5,5,0,0,3,5,0,5,0,5,0,5,3,5,3,5,4,5,5,4,3,5,2,2,4,5,4,5,0,5,3,18,Female,Yes,"White or Caucasian,American Indian/Native American or Alaska Native",4,4,4,Other (please explain),Continue,NA,6,4.526315789,4.272727273,5,4.4,4,4.8,4.585365854,4.4,4.285714286,2.526315789,1.909090909,0.9,2.6,0.6,3.6,1.975609756,2.266666667,3.642857143
I understand and agree to continue,1,1,1,3,3,3,0,0,2,1,2,0,3,4,3,5,1,3,0,3,4,4,3,1,0,5,1,2,1,2,1,1,2,1,5,0,0,5,2,3,1,0,2,0,1,5,1,1,1,5,0,0,1,0,1,3,1,2,3,1,3,3,4,0,5,1,5,2,3,0,5,0,1,0,5,0,3,2,4,0,4,0,3,4,1,3,2,0,2,2,1,0,0,2,1,2,0,5,1,NA,3,2,0,5,5,5,1,3,3,3,2,2,5,0,0,0,0,0,0,0,4,0,3,2,1,1,3,3,3,3,3,2,3,0,0,5,2,2,2,0,1,0,19,Female,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,9,1.736842105,1.363636364,3.9,1.6,1.8,2.6,2.170731707,2,1.666666667,2.315789474,1.818181818,0.5,1.4,0,2.2,1.756097561,1.2,2.714285714
